,Flight_Date,Aircraft Airline Operator
0,1990-01-08,MILITARY
1,1990-01-09,MILITARY
2,1990-01-11,MILITARY
3,1990-01-11,SOUTHWEST AIRLINES
4,1990-01-12,MILITARY
5,1990-02-02,MILITARY
6,1990-02-06,MILITARY
7,1990-02-22,FEDEX EXPRESS
8,1990-03-01,MILITARY
9,1990-03-02,MILITARY
10,1990-03-03,AIR WISCONSIN AIRLINES
11,1990-03-08,MILITARY
12,1990-03-09,MILITARY
13,1990-03-09,MILITARY
14,1990-03-09,MILITARY
15,1990-03-13,MILITARY
16,1990-03-19,MILITARY
17,1990-03-22,TRANS STATES AIRLINES
18,1990-04-04,MILITARY
19,1990-04-07,US AIRWAYS*
20,1990-04-07,MILITARY
21,1990-04-09,MILITARY
22,1990-04-15,MILITARY
23,1990-04-16,MILITARY
24,1990-04-18,MILITARY
25,1990-04-19,MILITARY
26,1990-04-19,MILITARY
27,1990-04-19,AMERICAN AIRLINES
28,1990-04-20,UNKNOWN
29,1990-04-23,MILITARY
30,1990-04-23,MILITARY
31,1990-04-24,MILITARY
32,1990-04-25,MILITARY
33,1990-04-25,MILITARY
34,1990-04-26,MILITARY
35,1990-04-27,US AIRWAYS*
36,1990-04-27,AMERICAN AIRLINES
37,1990-04-28,AMERICAN AIRLINES
38,1990-04-29,AMERICAN AIRLINES
39,1990-04-30,US AIRWAYS*
40,1990-05-01,UNITED AIRLINES
41,1990-05-01,SOUTHWEST AIRLINES
42,1990-05-02,AMERICAN AIRLINES
43,1990-05-03,SOUTHWEST AIRLINES
44,1990-05-05,AMERICAN AIRLINES
45,1990-05-05,AMERICAN AIRLINES
46,1990-05-05,DELTA AIR LINES
47,1990-05-07,BUSINESS
48,1990-05-07,AMERICAN AIRLINES
49,1990-05-08,MILITARY
50,1990-05-08,AMERICAN AIRLINES
51,1990-05-10,AMERICAN AIRLINES
52,1990-05-10,MILITARY
53,1990-05-11,AMERICAN AIRLINES
54,1990-05-13,AMERICAN AIRLINES
55,1990-05-13,AMERICAN AIRLINES
56,1990-05-13,AMERICAN AIRLINES
57,1990-05-13,AMERICAN AIRLINES
58,1990-05-14,AMERICAN AIRLINES
59,1990-05-14,AMERICAN AIRLINES
60,1990-05-15,MILITARY
61,1990-05-15,MILITARY
62,1990-05-15,AMERICAN AIRLINES
63,1990-05-15,MILITARY
64,1990-05-16,ALOHA AIRLINES
65,1990-05-16,SOUTHWEST AIRLINES
66,1990-05-18,AMERICAN AIRLINES
67,1990-05-19,AMERICAN AIRLINES
68,1990-05-20,AMERICAN AIRLINES
