airline,frequency
ABX AIR,76
AIR CANADA,69
AIR WISCONSIN AIRLINES,17
AIRTRAN AIRWAYS,25
ALASKA AIRLINES,102
ALLEGHENYAIRLINES,22
ALOHA AIRLINES,184
AMERICA WEST AIRLINES,275
AMERICAN AIRLINES,2171
AMERICAN EAGLE AIRLINES,223
ASTAR AIR CARGO,29
ATLANTIC COAST AIRLINES,138
ATLANTIC SOUTHEAST,37
BUSINESS,371
CHAUTAUQUA AIRLINES,18
COMAIR AIRLINES,113
COMMUTAIR,3
CONTINENTAL AIRLINES,187
DELTA AIR LINES,865
EXECUTIVE JET AVIATION,36
EXPRESSJET (CONTINENTAL EXPRS),106
FEDEX EXPRESS,365
FRONTIER AIRLINES,23
GOVERNMENT,15
GREAT LAKES AIRLINES,30
HAWAIIAN AIR,97
HORIZON AIR,102
JAPAN AIRLINES,13
JETBLUE AIRWAYS,4
MESA AIRLINES,23
MESABA AIRLINES,41
MILITARY,829
NORTHWEST AIRLINES,256
PIEDMONT AIRLINES,32
PINNACLE,17
PRIVATELY OWNED,36
PSA AIRLINES,27
SKYWEST AIRLINES,68
SOUTHWEST AIRLINES,844
SPIRIT AIRLINES,7
TRANS STATES AIRLINES,28
TRANS WORLD AIRLINES,163
UNITED AIRLINES,534
UNKNOWN,72
UPS AIRLINES,223
US AIRWAYS*,1084
