node,parent,count
root,,
BARKSDALE AIR FORCE BASE ARPT,root,
NEW ORLEANS INTL,root,
WASHINGTON DULLES INTL ARPT,root,
RONALD REAGAN WASHINGTON NATL,root,
CHARLESTON AFB/INTL ARPT,root,
LAMBERT-ST LOUIS INTL,root,
LAGUARDIA NY,root,
CHARLOTTE/DOUGLAS INTL ARPT,root,
LOS ANGELES INTL,root,
CHICAGO O'HARE INTL ARPT,root,
PORTLAND INTL (OR),root,
FORT LAUDERDALE/HOLLYWOOD INTL,root,
HOUSTON-HOBBY,root,
SAN ANTONIO INTL,root,
SACRAMENTO INTL,root,
WILL ROGERS WORLD ARPT,root,
ATLANTA INTL,root,
INDIANAPOLIS INTL,root,
DALLAS/FORT WORTH INTL ARPT,root,
KANSAS CITY INTL,root,
MINETA SAN JOSE INTL,root,
METRO OAKLAND INTL,root,
NASHVILLE INTL,root,
MINNEAPOLIS-ST PAUL INTL,root,
SALT LAKE CITY INTL,root,
HONOLULU INTL ARPT,root,
AUSTIN-BERGSTROM INTL,root,
SAN FRANCISCO INTL ARPT,root,
CLEVELAND-HOPKINS INTL ARPT,root,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,root,
LOUISVILLE INTL ARPT,root,
GREATER PITTSBURGH,root,
BALTIMORE WASH INTL,root,
LOGAN INTL,root,
ORLANDO INTL,root,
PORT COLUMBUS INTL,root,
EPPLEY AIRFIELD,root,
ATLANTIC CITY INTL,root,
GEORGE BUSH INTERCONTINENTAL,root,
SEATTLE-TACOMA INTL,root,
MEMPHIS INTL,root,
LIHUE ARPT,root,
NEWARK LIBERTY INTL ARPT,root,
PHILADELPHIA INTL,root,
JOHN F KENNEDY INTL,root,
PHOENIX SKY HARBOR,root,
TETERBORO AIRPORT,root,
DETROIT METRO WAYNE COUNTY ARPT,root,
CHICAGO MIDWAY INTL ARPT,root,
DENVER INTL AIRPORT,root,
A-319,ATLANTA INTL,1
A-320,ATLANTA INTL,3
ATR-72,ATLANTA INTL,1
B-717-200,ATLANTA INTL,3
B-727,ATLANTA INTL,19
B-727-100,ATLANTA INTL,3
B-727-200,ATLANTA INTL,16
B-737,ATLANTA INTL,7
B-737-200,ATLANTA INTL,6
B-737-300,ATLANTA INTL,5
B-737-500,ATLANTA INTL,2
B-757-200,ATLANTA INTL,21
B-767,ATLANTA INTL,5
B-767-200,ATLANTA INTL,1
B-767-300,ATLANTA INTL,17
