,date,frequency,index
0,08/01/1990,1,1
1,09/01/1990,1,2
2,11/01/1990,2,3
3,12/01/1990,1,4
4,02/02/1990,1,5
5,06/02/1990,1,6
6,22/02/1990,1,7
7,01/03/1990,1,8
8,02/03/1990,1,9
9,03/03/1990,1,10
10,08/03/1990,1,11
11,09/03/1990,3,12
12,13/03/1990,1,13
13,19/03/1990,1,14
14,22/03/1990,1,15
15,04/04/1990,1,16
16,07/04/1990,2,17
17,09/04/1990,1,18
18,15/04/1990,1,19
19,16/04/1990,1,20
20,18/04/1990,1,21
21,19/04/1990,3,22
22,20/04/1990,1,23
23,23/04/1990,2,24
24,24/04/1990,1,25
25,25/04/1990,2,26
26,26/04/1990,1,27
27,27/04/1990,2,28
28,28/04/1990,1,29
29,29/04/1990,1,30
30,30/04/1990,1,31
31,01/05/1990,2,32
32,02/05/1990,1,33
33,03/05/1990,1,34
34,05/05/1990,3,35
35,07/05/1990,2,36
36,08/05/1990,2,37
37,10/05/1990,2,38
38,11/05/1990,1,39
39,13/05/1990,4,40
40,14/05/1990,2,41
41,15/05/1990,4,42
42,16/05/1990,2,43
43,18/05/1990,1,44
44,19/05/1990,1,45
45,20/05/1990,1,46
46,22/05/1990,2,47
47,23/05/1990,1,48
48,24/05/1990,2,49
49,26/05/1990,4,50
50,27/05/1990,3,51
51,29/05/1990,4,52
52,30/05/1990,2,53
53,31/05/1990,2,54
54,01/06/1990,2,55
55,04/06/1990,1,56
56,05/06/1990,1,57
57,06/06/1990,1,58
58,07/06/1990,3,59
59,08/06/1990,1,60
60,09/06/1990,2,61
61,11/06/1990,1,62
62,12/06/1990,2,63
63,14/06/1990,3,64
64,17/06/1990,1,65
65,18/06/1990,1,66
66,19/06/1990,2,67
67,20/06/1990,1,68
68,21/06/1990,1,69
69,22/06/1990,1,70
70,23/06/1990,5,71
71,26/06/1990,2,72
72,27/06/1990,1,73
73,28/06/1990,2,74
74,30/06/1990,1,75
75,01/07/1990,1,76
76,03/07/1990,2,77
77,05/07/1990,1,78
78,06/07/1990,2,79
79,07/07/1990,1,80
80,08/07/1990,4,81
81,09/07/1990,1,82
82,10/07/1990,2,83
83,11/07/1990,3,84
84,12/07/1990,1,85
85,13/07/1990,2,86
86,15/07/1990,2,87
87,16/07/1990,4,88
88,17/07/1990,2,89
89,19/07/1990,1,90
90,20/07/1990,1,91
91,21/07/1990,1,92
92,22/07/1990,1,93
93,23/07/1990,3,94
94,24/07/1990,1,95
95,25/07/1990,1,96
96,26/07/1990,2,97
97,28/07/1990,1,98
98,29/07/1990,3,99
99,30/07/1990,2,100
100,31/07/1990,1,101
101,01/08/1990,2,102
102,02/08/1990,2,103
103,03/08/1990,1,104
104,04/08/1990,2,105
105,05/08/1990,3,106
106,06/08/1990,3,107
107,09/08/1990,3,108
108,10/08/1990,1,109
109,12/08/1990,2,110
110,13/08/1990,2,111
111,15/08/1990,2,112
112,16/08/1990,2,113
113,17/08/1990,2,114
114,18/08/1990,2,115
115,19/08/1990,2,116
116,20/08/1990,2,117
117,21/08/1990,2,118
118,22/08/1990,1,119
119,23/08/1990,2,120
120,24/08/1990,4,121
121,25/08/1990,3,122
122,27/08/1990,3,123
123,28/08/1990,4,124
124,29/08/1990,3,125
125,30/08/1990,3,126
126,31/08/1990,5,127
127,01/09/1990,3,128
128,03/09/1990,1,129
129,04/09/1990,1,130
130,05/09/1990,3,131
131,06/09/1990,4,132
132,07/09/1990,4,133
133,09/09/1990,1,134
134,10/09/1990,9,135
135,11/09/1990,1,136
136,12/09/1990,3,137
137,13/09/1990,2,138
138,14/09/1990,3,139
139,15/09/1990,2,140
140,16/09/1990,2,141
141,17/09/1990,4,142
142,18/09/1990,4,143
143,20/09/1990,2,144
144,21/09/1990,4,145
145,22/09/1990,5,146
146,23/09/1990,2,147
147,24/09/1990,2,148
148,25/09/1990,4,149
149,26/09/1990,3,150
150,27/09/1990,5,151
151,28/09/1990,2,152
152,30/09/1990,5,153
153,01/10/1990,2,154
154,02/10/1990,1,155
155,04/10/1990,1,156
156,05/10/1990,1,157
157,06/10/1990,1,158
158,07/10/1990,1,159
159,09/10/1990,1,160
160,10/10/1990,5,161
161,11/10/1990,2,162
162,12/10/1990,5,163
163,13/10/1990,2,164
164,14/10/1990,1,165
165,15/10/1990,5,166
166,17/10/1990,1,167
167,18/10/1990,4,168
168,19/10/1990,2,169
169,20/10/1990,1,170
170,21/10/1990,2,171
171,22/10/1990,7,172
172,23/10/1990,3,173
173,24/10/1990,14,174
174,25/10/1990,7,175
175,26/10/1990,2,176
176,27/10/1990,2,177
177,28/10/1990,1,178
178,29/10/1990,1,179
179,30/10/1990,1,180
180,31/10/1990,3,181
181,01/11/1990,1,182
182,02/11/1990,3,183
183,03/11/1990,1,184
184,04/11/1990,3,185
185,05/11/1990,2,186
186,06/11/1990,4,187
187,07/11/1990,3,188
188,08/11/1990,4,189
189,09/11/1990,4,190
190,10/11/1990,2,191
191,11/11/1990,2,192
192,12/11/1990,3,193
193,13/11/1990,1,194
194,14/11/1990,1,195
195,16/11/1990,2,196
196,17/11/1990,1,197
197,18/11/1990,1,198
198,19/11/1990,2,199
199,21/11/1990,1,200
200,24/11/1990,1,201
201,26/11/1990,2,202
202,27/11/1990,3,203
203,28/11/1990,1,204
204,30/11/1990,1,205
205,03/12/1990,4,206
206,04/12/1990,2,207
207,05/12/1990,1,208
208,08/12/1990,1,209
209,09/12/1990,1,210
210,11/12/1990,2,211
211,13/12/1990,1,212
212,17/12/1990,2,213
213,20/12/1990,3,214
214,21/12/1990,1,215
215,22/12/1990,1,216
216,23/12/1990,1,217
217,24/12/1990,1,218
218,01/01/1991,1,219
219,02/01/1991,1,220
220,04/01/1991,1,221
221,05/01/1991,1,222
222,06/01/1991,2,223
223,07/01/1991,1,224
224,09/01/1991,1,225
225,14/01/1991,1,226
226,16/01/1991,1,227
227,19/01/1991,1,228
228,21/01/1991,1,229
229,22/01/1991,1,230
230,23/01/1991,2,231
231,24/01/1991,1,232
232,25/01/1991,1,233
233,31/01/1991,2,234
234,05/02/1991,2,235
235,07/02/1991,1,236
236,11/02/1991,1,237
237,19/02/1991,1,238
238,22/02/1991,2,239
239,23/02/1991,1,240
240,24/02/1991,2,241
241,26/02/1991,1,242
242,28/02/1991,2,243
243,03/03/1991,1,244
244,05/03/1991,2,245
245,06/03/1991,2,246
246,07/03/1991,1,247
247,08/03/1991,1,248
248,12/03/1991,1,249
249,13/03/1991,1,250
250,16/03/1991,1,251
251,18/03/1991,2,252
252,19/03/1991,3,253
253,20/03/1991,3,254
254,21/03/1991,1,255
255,22/03/1991,1,256
256,23/03/1991,1,257
257,24/03/1991,1,258
258,25/03/1991,2,259
259,26/03/1991,1,260
260,28/03/1991,2,261
261,29/03/1991,3,262
262,31/03/1991,1,263
263,04/04/1991,1,264
264,06/04/1991,1,265
265,07/04/1991,3,266
266,08/04/1991,2,267
267,09/04/1991,2,268
268,10/04/1991,1,269
269,12/04/1991,1,270
270,15/04/1991,3,271
271,16/04/1991,1,272
272,17/04/1991,5,273
273,18/04/1991,2,274
274,19/04/1991,1,275
275,21/04/1991,1,276
276,22/04/1991,1,277
277,23/04/1991,1,278
278,24/04/1991,3,279
279,25/04/1991,3,280
280,28/04/1991,2,281
281,01/05/1991,2,282
282,02/05/1991,2,283
283,03/05/1991,4,284
284,04/05/1991,3,285
285,05/05/1991,2,286
286,06/05/1991,3,287
287,07/05/1991,5,288
288,08/05/1991,2,289
289,09/05/1991,5,290
290,10/05/1991,3,291
291,11/05/1991,2,292
292,12/05/1991,3,293
293,13/05/1991,2,294
294,14/05/1991,2,295
295,15/05/1991,4,296
296,16/05/1991,1,297
297,17/05/1991,1,298
298,18/05/1991,1,299
299,19/05/1991,4,300
300,20/05/1991,3,301
301,22/05/1991,3,302
302,27/05/1991,1,303
303,29/05/1991,3,304
304,31/05/1991,2,305
305,02/06/1991,2,306
306,03/06/1991,1,307
307,05/06/1991,1,308
308,06/06/1991,1,309
309,07/06/1991,1,310
310,08/06/1991,1,311
311,09/06/1991,2,312
312,10/06/1991,1,313
313,11/06/1991,4,314
314,12/06/1991,1,315
315,13/06/1991,1,316
316,14/06/1991,1,317
317,15/06/1991,1,318
318,16/06/1991,1,319
319,17/06/1991,3,320
320,18/06/1991,1,321
321,19/06/1991,1,322
322,20/06/1991,1,323
323,22/06/1991,3,324
324,25/06/1991,2,325
325,26/06/1991,1,326
326,28/06/1991,1,327
327,29/06/1991,1,328
328,01/07/1991,1,329
329,02/07/1991,1,330
330,03/07/1991,3,331
331,05/07/1991,1,332
332,08/07/1991,2,333
333,09/07/1991,2,334
334,10/07/1991,3,335
335,11/07/1991,1,336
336,12/07/1991,2,337
337,13/07/1991,4,338
338,14/07/1991,2,339
339,16/07/1991,2,340
340,17/07/1991,2,341
341,18/07/1991,3,342
342,20/07/1991,1,343
343,22/07/1991,1,344
344,23/07/1991,2,345
345,24/07/1991,3,346
346,26/07/1991,1,347
347,27/07/1991,1,348
348,29/07/1991,2,349
349,31/07/1991,1,350
350,01/08/1991,2,351
351,02/08/1991,2,352
352,03/08/1991,4,353
353,04/08/1991,2,354
354,05/08/1991,2,355
355,06/08/1991,2,356
356,07/08/1991,4,357
357,08/08/1991,2,358
358,09/08/1991,2,359
359,11/08/1991,3,360
360,12/08/1991,3,361
361,15/08/1991,4,362
362,16/08/1991,2,363
363,17/08/1991,3,364
364,18/08/1991,3,365
365,19/08/1991,5,366
366,20/08/1991,2,367
367,21/08/1991,1,368
368,22/08/1991,1,369
369,23/08/1991,1,370
370,24/08/1991,1,371
371,25/08/1991,1,372
372,26/08/1991,3,373
373,28/08/1991,4,374
374,29/08/1991,5,375
375,30/08/1991,3,376
376,31/08/1991,2,377
377,01/09/1991,7,378
378,02/09/1991,4,379
379,03/09/1991,3,380
380,04/09/1991,5,381
381,05/09/1991,4,382
382,06/09/1991,1,383
383,07/09/1991,5,384
384,08/09/1991,3,385
385,09/09/1991,2,386
386,10/09/1991,4,387
387,11/09/1991,2,388
388,12/09/1991,6,389
389,13/09/1991,1,390
390,14/09/1991,1,391
391,15/09/1991,2,392
392,16/09/1991,2,393
393,17/09/1991,6,394
394,18/09/1991,4,395
395,19/09/1991,4,396
396,20/09/1991,7,397
397,21/09/1991,3,398
398,23/09/1991,5,399
399,24/09/1991,2,400
400,25/09/1991,2,401
401,26/09/1991,5,402
402,27/09/1991,1,403
403,30/09/1991,6,404
404,01/10/1991,1,405
405,02/10/1991,1,406
406,03/10/1991,3,407
407,04/10/1991,1,408
408,05/10/1991,2,409
409,06/10/1991,4,410
410,07/10/1991,5,411
411,08/10/1991,4,412
412,09/10/1991,4,413
413,10/10/1991,5,414
414,11/10/1991,4,415
415,12/10/1991,1,416
416,13/10/1991,3,417
417,14/10/1991,2,418
418,15/10/1991,4,419
419,16/10/1991,4,420
420,17/10/1991,3,421
421,18/10/1991,1,422
422,19/10/1991,1,423
423,20/10/1991,3,424
424,22/10/1991,2,425
425,23/10/1991,1,426
426,24/10/1991,1,427
427,25/10/1991,3,428
428,26/10/1991,2,429
429,29/10/1991,4,430
430,30/10/1991,3,431
431,31/10/1991,2,432
432,01/11/1991,2,433
433,02/11/1991,1,434
434,03/11/1991,6,435
435,04/11/1991,6,436
436,05/11/1991,1,437
437,06/11/1991,3,438
438,07/11/1991,1,439
439,08/11/1991,6,440
440,09/11/1991,1,441
441,10/11/1991,1,442
442,11/11/1991,5,443
443,12/11/1991,3,444
444,13/11/1991,1,445
445,14/11/1991,2,446
446,15/11/1991,1,447
447,16/11/1991,3,448
448,17/11/1991,3,449
449,18/11/1991,1,450
450,19/11/1991,1,451
451,20/11/1991,1,452
452,22/11/1991,5,453
453,23/11/1991,2,454
454,24/11/1991,1,455
455,25/11/1991,2,456
456,26/11/1991,3,457
457,27/11/1991,1,458
458,04/12/1991,2,459
459,05/12/1991,2,460
460,06/12/1991,2,461
461,07/12/1991,1,462
462,09/12/1991,1,463
463,10/12/1991,2,464
464,11/12/1991,3,465
465,12/12/1991,4,466
466,13/12/1991,2,467
467,17/12/1991,1,468
468,18/12/1991,1,469
469,19/12/1991,1,470
470,20/12/1991,1,471
471,21/12/1991,2,472
472,22/12/1991,2,473
473,24/12/1991,2,474
474,25/12/1991,1,475
475,30/12/1991,2,476
476,31/12/1991,2,477
477,02/01/1992,1,478
478,03/01/1992,2,479
479,05/01/1992,1,480
480,07/01/1992,1,481
481,10/01/1992,1,482
482,12/01/1992,1,483
483,17/01/1992,3,484
484,19/01/1992,1,485
485,20/01/1992,1,486
486,24/01/1992,2,487
487,25/01/1992,1,488
488,28/01/1992,1,489
489,29/01/1992,3,490
490,30/01/1992,1,491
491,31/01/1992,1,492
492,02/02/1992,1,493
493,04/02/1992,1,494
494,07/02/1992,1,495
495,11/02/1992,1,496
496,15/02/1992,1,497
497,16/02/1992,1,498
498,17/02/1992,2,499
499,18/02/1992,3,500
500,20/02/1992,1,501
501,21/02/1992,1,502
502,23/02/1992,1,503
503,28/02/1992,2,504
504,29/02/1992,1,505
505,04/03/1992,1,506
506,05/03/1992,1,507
507,06/03/1992,3,508
508,08/03/1992,1,509
509,09/03/1992,3,510
510,10/03/1992,1,511
511,11/03/1992,3,512
512,15/03/1992,2,513
513,21/03/1992,1,514
514,24/03/1992,3,515
515,26/03/1992,1,516
516,27/03/1992,1,517
517,30/03/1992,2,518
518,31/03/1992,1,519
519,03/04/1992,2,520
520,06/04/1992,1,521
521,07/04/1992,1,522
522,08/04/1992,1,523
523,09/04/1992,4,524
524,10/04/1992,1,525
525,11/04/1992,1,526
526,12/04/1992,1,527
527,13/04/1992,4,528
528,14/04/1992,4,529
529,15/04/1992,1,530
530,16/04/1992,1,531
531,17/04/1992,3,532
532,19/04/1992,2,533
533,20/04/1992,2,534
534,21/04/1992,3,535
535,22/04/1992,2,536
536,23/04/1992,7,537
537,25/04/1992,4,538
538,27/04/1992,4,539
539,28/04/1992,2,540
540,29/04/1992,1,541
541,30/04/1992,3,542
542,01/05/1992,2,543
543,02/05/1992,3,544
544,03/05/1992,2,545
545,06/05/1992,3,546
546,07/05/1992,3,547
547,08/05/1992,3,548
548,09/05/1992,5,549
549,11/05/1992,3,550
550,12/05/1992,3,551
551,13/05/1992,5,552
552,14/05/1992,3,553
553,15/05/1992,2,554
554,16/05/1992,2,555
555,17/05/1992,3,556
556,18/05/1992,2,557
557,19/05/1992,1,558
558,20/05/1992,3,559
559,21/05/1992,5,560
560,22/05/1992,2,561
561,24/05/1992,1,562
562,25/05/1992,5,563
563,26/05/1992,2,564
564,27/05/1992,7,565
565,28/05/1992,7,566
566,29/05/1992,2,567
567,30/05/1992,6,568
568,01/06/1992,3,569
569,02/06/1992,3,570
570,03/06/1992,1,571
571,04/06/1992,2,572
572,05/06/1992,3,573
573,06/06/1992,1,574
574,07/06/1992,2,575
575,08/06/1992,1,576
576,09/06/1992,4,577
577,11/06/1992,4,578
578,12/06/1992,2,579
579,13/06/1992,1,580
580,14/06/1992,3,581
581,15/06/1992,6,582
582,16/06/1992,7,583
583,18/06/1992,1,584
584,19/06/1992,2,585
585,20/06/1992,2,586
586,21/06/1992,3,587
587,22/06/1992,3,588
588,23/06/1992,1,589
589,24/06/1992,1,590
590,25/06/1992,4,591
