parent,node,count
Large,Canada goose,190
Large,Coyote,26
Large,Great blue heron,25
Large,Turkey vulture,33
Large,Unknown bird - large,436
Large,White-tailed deer,34
Medium,American crow,41
Medium,Herring gull,52
Medium,Mallard,63
Medium,Red-tailed hawk,100
Medium,Ring-billed gull,87
Medium,Short-eared owl,1
Medium,Unknown bird - medium,3372
Medium,Unknown bird or bat,629
Medium,Zebra dove,1
Small,American kestrel,83
Small,American robin,62
Small,Barn owl,47
Small,Barn swallow,38
Small,Blackbirds,10
Small,Cattle egret,16
Small,Chimney swift,7
Small,Cliff swallow,13
Small,Common nighthawk,6
Small,Eastern meadowlark,30
Small,European starling,319
Small,Horned lark,22
Small,Killdeer,64
Small,Laughing gull,29
Small,Meadowlarks,10
Small,Mourning dove,217
Small,Pacific golden-plover,65
Small,Rock pigeon,232
Small,Savannah sparrow,3
Small,Short-eared owl,8
Small,Tree swallow,14
Small,Unknown bird - small,3572
Small,Western meadowlark,19
Small,Zebra dove,24
